LawyerID,Lawyer Domain,Courts of Practice,Appointment Fee,Description,Experience (years)
1,Criminal Defense,Supreme Court,300,"I specialize in criminal defense cases, ranging from misdemeanors to felonies. I have a strong track record of defending my clients in the Supreme Court.",10
2,Family Law,District Court,250,"I handle family law cases, including divorce, child custody, and spousal support. My goal is to help families navigate legal challenges with compassion and expertise.",8
3,Personal Injury,County Court,350,"As a personal injury lawyer, I fight for the rights of accident victims. I have successfully secured compensation for numerous clients in County Court.",15
4,Real Estate Law,Appellate Court,400,"My expertise lies in real estate law, helping clients with property transactions and disputes. I have a deep understanding of Appellate Court procedures.",5
5,Immigration Law,Federal Court,450,"I specialize in immigration law, assisting clients with visa applications, green card processes, and deportation defense in Federal Court.",12
6,Corporate Law,High Court,500,"With a focus on corporate law, I provide legal counsel to businesses of all sizes. I have a strong presence in High Court and a history of successful cases.",20
7,Intellectual Property,Patent Office,450,"I am an intellectual property attorney with experience in patent law. I work closely with clients to protect their innovations through the Patent Office.",7
8,Environmental Law,Environmental Court,350,"Environmental law is my passion. I handle cases related to environmental regulations and conservation efforts in the Environmental Court.",9
9,Bankruptcy Law,Bankruptcy Court,300,"As a bankruptcy lawyer, I guide individuals and businesses through the bankruptcy process in Bankruptcy Court. My goal is to provide a fresh financial start.",6
10,Employment Law,Labor Court,400,"I advocate for employees and employers in labor disputes. I have a deep understanding of employment laws and a history of favorable outcomes in Labor Court.",14
11,Immigration Law,Immigration Court,350,"I am dedicated to assisting immigrants facing deportation in Immigration Court. I have successfully helped many clients secure legal status.",11
12,Estate Planning,Probate Court,300,"I specialize in estate planning and probate matters, ensuring that clients' wishes are carried out smoothly in Probate Court.",18
13,Medical Malpractice,Medical Board,450,"I handle medical malpractice cases and represent patients who have suffered injuries due to negligence. I have a strong presence before the Medical Board.",10
14,Insurance Law,Insurance Tribunal,400,"Insurance law is my area of expertise. I assist clients with insurance claims, disputes, and policy interpretation in the Insurance Tribunal.",13
15,Intellectual Property,Trademark Office,350,"I focus on trademark law and assist clients in registering and protecting their trademarks through the Trademark Office.",8
16,Family Law,Juvenile Court,300,"I am committed to resolving family law matters, including child custody and juvenile cases, with sensitivity and compassion in Juvenile Court.",9
17,Real Estate Law,Real Estate Board,400,"Real estate law is my forte. I handle transactions, contracts, and disputes while ensuring my clients' interests are protected before the Real Estate Board.",12
18,Criminal Defense,Municipal Court,350,"I defend clients facing criminal charges in Municipal Court. My experience includes handling a wide range of criminal cases.",7
19,Corporate Law,Arbitration,500,"I provide legal counsel and represent businesses in arbitration proceedings, ensuring fair resolutions to disputes in Corporate Law.",11
20,Employment Law,Human Rights Commission,450,"I am an employment law attorney with a focus on human rights issues. I advocate for equal treatment and nondiscrimination in the workplace.",15
21,Family Law,Family Court,300,"I focus on family law and represent clients in Family Court. I work to resolve disputes related to child support, custody, and divorce amicably.",9
22,Personal Injury,Superior Court,400,"I specialize in personal injury claims and have a strong presence in Superior Court. I have successfully obtained compensation for injured clients.",14
23,Real Estate Law,Property Court,350,"My expertise is in real estate law, and I handle property transactions and boundary disputes in Property Court. I ensure clients' interests are protected.",8
24,Immigration Law,Immigration Office,450,"I am an immigration lawyer assisting clients with visa applications and green card petitions at the Immigration Office. I'm dedicated to reuniting families.",10
